,Car,Company,fuel,seller_type,transmission,owner,year,km_driven,mileage,engine_cc,max_power_bhp,seats
0,Ambassador CLASSIC 1500,Ambassador,Diesel,Individual,Manual,Second Owner,2000.0,90000.0,12.8,1489.0,35.5,5.0
1,Ambassador Classic 2000,Ambassador,Diesel,Individual,Manual,Second Owner,1994.0,100000.0,12.8,1995.0,52.0,5.0
2,Ambassador Grand 1500,Ambassador,Diesel,Individual,Manual,Second Owner,2008.0,60000.0,12.8,1995.0,52.0,5.0
3,Ambassador Grand 2000,Ambassador,Diesel,Individual,Manual,Third Owner,2008.0,80000.0,13.5,1995.0,52.0,5.0
4,Ashok Leyland Stile,Ashok,Diesel,Individual,Manual,Second Owner,2013.0,200000.0,20.07,1461.0,75.0,8.0
5,Audi A3 35,Audi,Diesel,Individual,Automatic,First Owner,2017.5,45000.0,20.38,1968.0,143.0,5.0
6,Audi A3 40,Audi,Petrol,Dealer,Automatic,First Owner,2017.0,8000.0,16.6,1798.0,177.5,5.0
7,Audi A4 1.8,Audi,Petrol,Individual,Automatic,Second Owner,2010.0,55000.0,12.3,1781.0,163.2,5.0
8,Audi A4 2,Audi,Diesel,Individual,Automatic,First Owner,2014.0,60000.0,16.55,1968.0,147.51,5.0
9,Audi A4 35,Audi,Diesel,Dealer,Automatic,First Owner,2016.0,33500.0,18.25,1968.0,187.74,5.0
10,Audi A6 2,Audi,Diesel,Dealer,Automatic,Second Owner,2013.0,42500.0,17.68,1968.0,174.33,5.0
11,Audi A6 35,Audi,Petrol,Dealer,Automatic,Test Drive Car,2019.0,11500.0,15.26,1798.0,187.74,5.0
12,Audi Q3 2,Audi,Diesel,Dealer,Automatic,First Owner,2016.5,26000.0,15.73,1968.0,174.33,5.0
13,Audi Q3 35,Audi,Diesel,Dealer,Automatic,First Owner,2018.0,25500.0,15.45,1968.0,177.66500000000002,5.0
14,Audi Q5 2,Audi,Diesel,Individual,Automatic,First Owner,2011.0,120000.0,12.8,1968.0,167.6,5.0
15,Audi Q5 3,Audi,Diesel,Individual,Automatic,First Owner,2014.0,76131.0,13.22,2967.0,241.4,5.0
16,Audi Q5 35TDI,Audi,Diesel,Dealer,Automatic,First Owner,2018.0,31800.0,17.01,1968.0,188.0,5.0
17,Audi Q5 45,Audi,Diesel,Dealer,Automatic,Second Owner,2015.0,105000.0,13.22,2967.0,241.4,5.0
18,Audi Q7 3,Audi,Diesel,Individual,Automatic,First Owner,2010.0,98000.0,12.07,2967.0,241.4,7.0
19,Audi Q7 35,Audi,Diesel,Dealer,Automatic,First Owner,2015.0,53000.0,12.07,2967.0,241.4,7.0
20,BMW 3 Series,BMW,Diesel,Individual,Automatic,First Owner,2013.0,74000.0,18.88,1995.0,184.0,5.0
21,BMW 5 Series,BMW,Diesel,Dealer,Automatic,First Owner,2017.0,29500.0,18.3,1995.0,187.74,5.0
22,BMW 6 Series,BMW,Diesel,Dealer,Automatic,First Owner,2018.0,28156.0,17.09,2993.0,261.4,4.0
23,BMW 7 Series,BMW,Diesel,Individual,Automatic,Second Owner,2008.5,75000.0,14.49,2993.0,258.0,5.0
24,BMW X1 sDrive,BMW,Diesel,Dealer,Automatic,First Owner,2018.0,27000.0,17.05,1995.0,184.0,5.0
25,BMW X1 sDrive20d,BMW,Diesel,Dealer,Automatic,First Owner,2011.0,42545.0,19.62,1998.0,190.0,5.0
26,BMW X1 sDrive20i,BMW,Petrol,Individual,Automatic,Second Owner,2016.0,30000.0,15.71,1998.0,189.0,5.0
27,BMW X3 xDrive20d,BMW,Diesel,Individual,Automatic,First Owner,2012.0,50000.0,16.09,1995.0,184.0,5.0
28,BMW X4 M,BMW,Diesel,Dealer,Automatic,First Owner,2019.0,8000.0,16.78,1995.0,190.0,5.0
29,BMW X5 3.0d,BMW,Diesel,Individual,Automatic,Third Owner,2008.0,60000.0,11.0,2993.0,235.0,5.0
30,BMW X6 xDrive30d,BMW,Diesel,Dealer,Automatic,First Owner,2013.0,56000.0,11.2,2993.0,241.0,4.0
31,BMW X7 xDrive,BMW,Diesel,Individual,Automatic,First Owner,2020.0,5000.0,13.38,2993.0,265.0,7.0
32,Chevrolet Aveo 1.4,Chevrolet,Petrol,Individual,Manual,Second Owner,2011.0,60000.0,14.49,1399.0,92.7,5.0
33,Chevrolet Aveo U-VA,Chevrolet,Petrol,Individual,Manual,Second Owner,2008.0,60000.0,15.26,1150.0,74.9,5.0
34,Chevrolet Beat Diesel,Chevrolet,Diesel,Individual,Manual,First Owner,2013.0,70000.0,25.44,936.0,57.6,5.0
35,Chevrolet Beat LS,Chevrolet,Petrol,Individual,Manual,Second Owner,2012.0,60000.0,18.6,1199.0,79.4,5.0
36,Chevrolet Beat LT,Chevrolet,Petrol,Individual,Manual,First Owner,2012.0,63000.0,18.6,1199.0,79.4,5.0
37,Chevrolet Captiva 2.2,Chevrolet,Diesel,Individual,Automatic,Second Owner,2012.5,57500.0,13.36,2231.0,184.0,7.0
38,Chevrolet Captiva LT,Chevrolet,Diesel,Individual,Manual,Third Owner,2010.0,99500.0,11.5,1991.0,147.9,7.0
39,Chevrolet Cruze LT,Chevrolet,Diesel,Individual,Manual,First Owner,2011.0,40000.0,18.3,1991.0,147.9,5.0
40,Chevrolet Cruze LTZ,Chevrolet,Diesel,Individual,Manual,Second Owner,2011.0,86000.0,18.1,1991.0,147.9,5.0
41,Chevrolet Enjoy 1.3,Chevrolet,Diesel,Individual,Manual,Second Owner,2016.0,80000.0,18.2,1248.0,73.74,7.0
42,Chevrolet Enjoy 1.4,Chevrolet,Petrol,Dealer,Manual,First Owner,2013.0,37000.0,13.7,1399.0,98.79,7.0
43,Chevrolet Enjoy Petrol,Chevrolet,Petrol,Individual,Manual,First Owner,2014.0,80000.0,13.7,1399.0,98.82,7.0
44,Chevrolet Enjoy TCDi,Chevrolet,Diesel,Individual,Manual,First Owner,2013.5,95000.0,18.2,1248.0,73.8,7.0
45,Chevrolet Optra 1.6,Chevrolet,Petrol,Individual,Manual,Second Owner,2006.0,94000.0,17.4,1599.0,104.0,5.0
46,Chevrolet Optra Magnum,Chevrolet,Diesel,Individual,Manual,Second Owner,2011.0,88000.0,16.52,1991.0,123.7,5.0
47,Chevrolet Sail 1.2,Chevrolet,Petrol,Individual,Manual,First Owner,2015.0,37500.0,18.2,1199.0,82.4,5.0
48,Chevrolet Sail 1.3,Chevrolet,Diesel,Dealer,Manual,First Owner,2013.0,56000.0,22.1,1248.0,74.0,5.0
49,Chevrolet Sail Hatchback,Chevrolet,Diesel,Individual,Manual,First Owner,2013.0,65000.0,22.1,1248.0,76.9,5.0
50,Chevrolet Sail LT,Chevrolet,Diesel,Individual,Manual,Second Owner,2014.5,59000.0,22.1,1248.0,74.0,5.0
51,Chevrolet Spark 1,Chevrolet,Petrol,Individual,Manual,First Owner,2010.0,70000.0,18.0,995.0,62.0,5.0
52,Chevrolet Tavera B1-10,Chevrolet,Diesel,Individual,Manual,Second Owner,2009.5,147500.0,14.8,2499.0,80.0,10.0
53,Chevrolet Tavera B2,Chevrolet,Diesel,Individual,Manual,Second Owner,2011.0,250000.0,14.8,2499.0,80.0,7.0
54,Chevrolet Tavera B3,Chevrolet,Diesel,Individual,Manual,First Owner,2005.0,220000.0,14.8,2499.0,80.0,10.0
55,Chevrolet Tavera LS,Chevrolet,Diesel,Individual,Manual,First Owner,2006.0,100000.0,14.8,2499.0,80.0,10.0
56,Chevrolet Tavera Neo,Chevrolet,Diesel,Individual,Manual,First Owner,2014.0,115000.0,13.58,2499.0,72.4,9.0
57,Chevrolet Trailblazer LTZ,Chevrolet,Diesel,Dealer,Automatic,Second Owner,2016.0,46000.0,11.45,2776.0,197.2,7.0
58,Daewoo Matiz SD,Daewoo,Petrol,Individual,Manual,First Owner,2000.5,98500.0,18.5,796.0,53.0,5.0
59,Daewoo Matiz SS,Daewoo,Petrol,Individual,Manual,First Owner,2000.0,46951.0,18.5,796.0,53.0,5.0
60,Datsun GO A,Datsun,Petrol,Individual,Manual,First Owner,2016.0,49000.0,19.02,1198.0,67.05,5.0
61,Datsun GO Anniversary,Datsun,Petrol,Individual,Manual,First Owner,2017.0,30000.0,20.63,1198.0,67.06,5.0
62,Datsun GO D,Datsun,Petrol,Individual,Manual,First Owner,2016.0,42000.0,20.63,1198.0,67.0,5.0
63,Datsun GO Plus,Datsun,Petrol,Individual,Manual,First Owner,2016.5,60000.0,19.58,1198.0,67.0,7.0
64,Datsun GO T,Datsun,Petrol,Individual,Manual,First Owner,2017.0,35000.0,20.63,1198.0,67.0,5.0
65,Datsun RediGO 1,Datsun,Petrol,Individual,Manual,First Owner,2018.0,19500.0,22.5,999.0,67.0,5.0
66,Datsun RediGO A,Datsun,Petrol,Individual,Manual,First Owner,2019.0,2300.0,22.7,799.0,53.64,5.0
67,Datsun RediGO AMT,Datsun,Petrol,Individual,Automatic,First Owner,2018.0,20000.0,23.0,999.0,67.0,5.0
68,Datsun RediGO S,Datsun,Petrol,Individual,Manual,First Owner,2017.5,37500.0,22.7,799.0,53.64,5.0
69,Datsun RediGO SV,Datsun,Petrol,Individual,Manual,First Owner,2019.0,1300.0,22.5,999.0,67.0,5.0
70,Datsun RediGO Sport,Datsun,Petrol,Individual,Manual,First Owner,2017.0,80000.0,22.7,799.0,53.0,5.0
71,Datsun RediGO T,Datsun,Petrol,Individual,Manual,First Owner,2017.0,30000.0,22.7,799.0,53.64,5.0
72,Fiat Avventura MULTIJET,Fiat,Diesel,Individual,Manual,First Owner,2015.0,120000.0,20.5,1248.0,91.72,5.0
73,Fiat Avventura Power,Fiat,Diesel,Individual,Manual,First Owner,2015.0,96500.0,20.5,1248.0,91.72,5.0
74,Fiat Grande Punto,Fiat,Diesel,Individual,Manual,First Owner,2012.5,68500.0,20.3,1248.0,75.0,5.0
75,Fiat Linea 1.3,Fiat,Diesel,Individual,Manual,First Owner,2015.0,48500.0,20.4,1248.0,91.7,5.0
76,Fiat Linea Classic,Fiat,Diesel,Individual,Manual,First Owner,2014.0,163750.0,19.5,1248.0,75.0,5.0
77,Fiat Linea Emotion,Fiat,Diesel,Individual,Manual,Second Owner,2010.0,88500.0,20.4,1248.0,91.7,5.0
78,Fiat Punto 1.2,Fiat,Petrol,Individual,Manual,Second Owner,2009.0,105000.0,15.7,1172.0,67.0,5.0
79,Fiat Punto EVO,Fiat,Diesel,Individual,Manual,Second Owner,2016.0,60000.0,20.5,1248.0,91.7,5.0
80,Fiat Punto Pure,Fiat,Petrol,Individual,Manual,First Owner,2016.0,33003.0,15.7,1172.0,67.0,5.0
81,Force Gurkha Hard,Force,Diesel,Dealer,Manual,First Owner,2018.0,20000.0,17.0,2596.0,80.8,5.0
82,Force One EX,Force,Diesel,Individual,Manual,Second Owner,2018.0,120000.0,17.0,2650.0,80.84,7.0
83,Force One SX,Force,Diesel,Individual,Manual,First Owner,2018.0,13000.0,17.0,2200.0,139.01,7.0
84,Ford Aspire Titanium,Ford,Petrol,Dealer,Manual,First Owner,2019.0,26500.0,19.4,1194.0,94.93,5.0
85,Ford Aspire Trend,Ford,Petrol,Individual,Manual,First Owner,2018.0,15000.0,20.4,1194.0,94.93,5.0
86,Ford Classic 1.4,Ford,Diesel,Individual,Manual,Second Owner,2014.0,95000.0,19.68,1399.0,67.0,5.0
87,Ford Classic 1.6,Ford,Petrol,Individual,Manual,Second Owner,2013.0,100000.0,14.09,1596.0,99.6,5.0
88,Ford EcoSport 1.5,Ford,Diesel,Individual,Manual,First Owner,2017.0,44772.0,22.77,1498.0,98.96,5.0
89,Ford EcoSport S,Ford,Diesel,Individual,Manual,First Owner,2019.0,20000.0,23.0,1498.0,98.96,5.0
90,Ford Ecosport 1,Ford,Petrol,Dealer,Manual,Second Owner,2013.5,46056.5,18.88,999.0,123.37,5.0
91,Ford Ecosport 1.5,Ford,Diesel,Dealer,Manual,First Owner,2015.5,68609.0,21.7,1498.0,98.96,5.0
92,Ford Ecosport Sports,Ford,Diesel,Dealer,Manual,Second Owner,2013.0,48000.0,21.7,1498.0,98.96,5.0
93,Ford Endeavour 2.2,Ford,Diesel,Individual,Automatic,First Owner,2016.0,57500.0,12.62,2198.0,158.0,7.0
94,Ford Endeavour 2.5L,Ford,Diesel,Individual,Manual,First Owner,2011.5,80707.5,13.1,2499.0,141.0,7.0
95,Ford Endeavour 3.0L,Ford,Diesel,Individual,Automatic,First Owner,2012.0,93468.0,11.4,2953.0,153.86,7.0
96,Ford Endeavour 3.2,Ford,Diesel,Individual,Automatic,First Owner,2018.0,35000.0,10.91,3198.0,197.0,7.0
97,Ford Endeavour 4x2,Ford,Diesel,Individual,Manual,Third Owner,2009.0,70000.0,10.9,2499.0,143.0,7.0
98,Ford Endeavour Hurricane,Ford,Diesel,Individual,Automatic,Third Owner,2013.0,110000.0,12.8,2953.0,156.0,7.0
99,Ford Fiesta 1.4,Ford,Diesel,Individual,Manual,Second Owner,2008.0,114321.0,17.8,1399.0,68.0,5.0
100,Ford Fiesta 1.5,Ford,Diesel,Individual,Manual,First Owner,2014.0,80000.0,25.01,1498.0,89.75,5.0
101,Ford Fiesta 1.6,Ford,Petrol,Individual,Manual,First Owner,2009.5,53500.0,15.3,1596.0,101.0,5.0
102,Ford Fiesta Classic,Ford,Diesel,Individual,Manual,Second Owner,2012.0,90165.0,17.8,1399.0,67.0,5.0
103,Ford Fiesta Diesel,Ford,Diesel,Individual,Manual,Second Owner,2012.0,90000.0,23.5,1498.0,88.7,5.0
104,Ford Fiesta EXi,Ford,Diesel,Individual,Manual,Second Owner,2011.0,115000.0,17.8,1399.0,68.0,5.0
105,Ford Fiesta Titanium,Ford,Diesel,Individual,Manual,Second Owner,2013.0,60000.0,23.5,1498.0,90.0,5.0
106,Ford Figo 1.2P,Ford,Petrol,Individual,Manual,First Owner,2017.0,42000.0,18.16,1196.0,86.8,5.0
107,Ford Figo 1.5,Ford,Diesel,Dealer,Manual,First Owner,2017.0,43235.0,24.29,1498.0,99.0,5.0
108,Ford Figo 1.5D,Ford,Diesel,Individual,Manual,First Owner,2016.0,79000.0,25.83,1498.0,99.0,5.0
109,Ford Figo 1.5P,Ford,Petrol,Individual,Automatic,First Owner,2015.0,40000.0,17.01,1499.0,110.4,5.0
110,Ford Figo Aspire,Ford,Diesel,Individual,Manual,First Owner,2017.0,35000.0,25.83,1498.0,99.0,5.0
111,Ford Figo Diesel,Ford,Diesel,Individual,Manual,First Owner,2011.0,90000.0,20.0,1399.0,68.0,5.0
112,Ford Figo Petrol,Ford,Petrol,Individual,Manual,Second Owner,2010.0,50000.0,15.6,1196.0,70.0,5.0
113,Ford Figo Titanium,Ford,Diesel,Dealer,Manual,First Owner,2013.0,86017.0,24.4,1498.0,98.96,5.0
114,Ford Freestyle Titanium,Ford,Petrol,Individual,Manual,First Owner,2018.0,19100.0,19.0,1194.0,94.68,5.0
115,Ford Freestyle Trend,Ford,Diesel,Individual,Manual,First Owner,2018.0,20706.0,23.8,1498.0,98.63,5.0
116,Ford Fusion 1.4,Ford,Diesel,Individual,Manual,Fourth & Above Owner,2009.0,105000.0,17.7,1399.0,68.0,5.0
117,Ford Fusion Plus,Ford,Diesel,Individual,Manual,Second Owner,2008.0,110000.0,17.7,1399.0,68.0,5.0
118,Ford Ikon 1.3,Ford,Petrol,Individual,Manual,Second Owner,2005.0,83000.0,13.8,1299.0,70.0,5.0
119,Ford Ikon 1.4,Ford,Diesel,Individual,Manual,Second Owner,2009.0,127500.0,13.8,1399.0,68.0,5.0
120,Ford Ikon 1.6,Ford,Petrol,Individual,Manual,Third Owner,2003.5,55000.0,14.2,1597.0,92.0,5.0
121,Honda Accord 2.4,Honda,Petrol,Individual,Automatic,Second Owner,2011.0,87000.0,12.25,2354.0,177.6,5.0
122,Honda Accord V6,Honda,Petrol,Individual,Automatic,Second Owner,2004.5,90000.0,9.0,2997.0,218.0,5.0
123,Honda Accord VTi-L,Honda,Petrol,Individual,Manual,Third Owner,2006.0,60000.0,11.9,2354.0,144.0,5.0
124,Honda Amaze Anniversary,Honda,Diesel,Individual,Manual,First Owner,2015.0,82000.0,25.8,1498.0,98.6,5.0
125,Honda Amaze E,Honda,Diesel,Individual,Manual,First Owner,2016.0,60000.0,25.8,1498.0,98.6,5.0
126,Honda Amaze EX,Honda,Petrol,Individual,Manual,Second Owner,2013.0,120000.0,18.0,1198.0,86.7,5.0
127,Honda Amaze S,Honda,Diesel,Individual,Manual,First Owner,2015.5,46500.0,24.7,1498.0,98.6,5.0
128,Honda Amaze SX,Honda,Diesel,Individual,Manual,First Owner,2016.5,42500.0,25.8,1498.0,98.6,5.0
129,Honda Amaze V,Honda,Petrol,Trustmark Dealer,Automatic,First Owner,2019.0,7032.0,19.0,1199.0,88.76,5.0
130,Honda Amaze VX,Honda,Diesel,Individual,Manual,First Owner,2015.0,67500.0,25.8,1498.0,98.6,5.0
131,Honda Amaze i-VTEC,Honda,Petrol,Individual,Manual,First Owner,2017.0,40000.0,17.8,1198.0,86.7,5.0
132,Honda BR-V i-DTEC,Honda,Diesel,Individual,Manual,First Owner,2016.5,58000.0,21.9,1498.0,98.6,7.0
133,Honda BR-V i-VTEC,Honda,Petrol,Dealer,Manual,First Owner,2017.0,43000.0,15.4,1497.0,117.3,7.0
134,Honda BRV i-DTEC,Honda,Diesel,Individual,Manual,First Owner,2016.5,58950.0,21.9,1498.0,98.6,7.0
135,Honda BRV i-VTEC,Honda,Petrol,Individual,Automatic,First Owner,2017.0,22500.0,15.4,1497.0,117.3,7.0
136,Honda Brio 1.2,Honda,Petrol,Dealer,Manual,First Owner,2016.0,40000.0,18.5,1198.0,86.8,5.0
137,Honda Brio E,Honda,Petrol,Individual,Manual,First Owner,2012.0,110000.0,19.4,1198.0,86.8,5.0
138,Honda Brio Exclusive,Honda,Petrol,Dealer,Manual,First Owner,2014.0,33033.0,19.4,1198.0,86.8,5.0
139,Honda Brio S,Honda,Petrol,Individual,Manual,First Owner,2014.0,60000.0,19.4,1198.0,86.8,5.0
140,Honda Brio V,Honda,Petrol,Individual,Manual,Second Owner,2012.0,50000.0,19.4,1198.0,86.8,5.0
141,Honda CR-V 2.0L,Honda,Petrol,Individual,Automatic,Third Owner,2011.0,137000.0,13.399999999999999,1997.0,147.48000000000002,5.0
142,Honda CR-V 2.4,Honda,Petrol,Individual,Automatic,Second Owner,2005.5,95000.0,10.1,2354.0,152.0,5.0
143,Honda CR-V 2.4L,Honda,Petrol,Dealer,Automatic,First Owner,2014.5,65500.0,11.55,2354.0,173.10000000000002,5.0
144,Honda City 1.3,Honda,Petrol,Individual,Manual,Second Owner,2004.0,120000.0,13.0,1343.0,90.0,5.0
145,Honda City 1.5,Honda,Petrol,Individual,Manual,Second Owner,2010.0,90500.0,17.0,1497.0,118.0,5.0
146,Honda City 2017-2020,Honda,Petrol,Individual,Manual,Second Owner,2007.0,110000.0,17.7,1497.0,78.0,5.0
147,Honda City Corporate,Honda,Petrol,Individual,Manual,Second Owner,2012.0,100000.0,16.8,1497.0,116.3,5.0
148,Honda City E,Honda,Petrol,Individual,Manual,Second Owner,2012.0,40000.0,16.8,1497.0,116.3,5.0
149,Honda City S,Honda,Petrol,Individual,Manual,Third Owner,2011.0,110000.0,16.8,1497.0,116.4,5.0
150,Honda City V,Honda,Petrol,Individual,Manual,First Owner,2012.5,79500.0,16.8,1497.0,116.3,5.0
151,Honda City VX,Honda,Petrol,Individual,Automatic,First Owner,2019.0,20000.0,17.4,1497.0,117.6,5.0
152,Honda City ZXi,Honda,Petrol,Individual,Automatic,Second Owner,2005.0,100000.0,12.0,1493.0,100.0,5.0
153,Honda City i,Honda,Diesel,Individual,Manual,First Owner,2015.0,60000.0,25.1,1498.0,98.6,5.0
154,Honda City i-DTEC,Honda,Diesel,Individual,Manual,First Owner,2017.0,50000.0,25.6,1498.0,97.9,5.0
155,Honda City i-VTEC,Honda,Petrol,Individual,Automatic,First Owner,2017.0,15100.0,17.7,1497.0,117.6,5.0
156,Honda Civic 1.8,Honda,Petrol,Individual,Manual,Third Owner,2008.0,90000.0,13.5,1799.0,130.0,5.0
157,Honda Civic Hybrid,Honda,Petrol,Individual,Automatic,Third Owner,2008.0,60000.0,20.0,1339.0,108.5,5.0
158,Honda Civic ZX,Honda,Diesel,Dealer,Manual,First Owner,2020.0,5500.0,26.8,1597.0,118.0,5.0
159,Honda Jazz 1.2,Honda,Petrol,Individual,Manual,First Owner,2016.0,30000.0,18.7,1199.0,88.7,5.0
160,Honda Jazz 1.5,Honda,Diesel,Individual,Manual,First Owner,2016.0,50000.0,27.3,1498.0,98.6,5.0
161,Honda Jazz Basic,Honda,Petrol,Dealer,Manual,First Owner,2011.0,42535.0,16.7,1198.0,88.8,5.0
162,Honda Jazz Select,Honda,Petrol,Individual,Manual,Second Owner,2011.0,80000.0,16.0,1198.0,90.0,5.0
163,Honda Jazz V,Honda,Petrol,Individual,Automatic,First Owner,2017.0,20000.0,18.2,1199.0,88.7,5.0
164,Honda Jazz VX,Honda,Petrol,Trustmark Dealer,Manual,First Owner,2016.0,56494.0,18.2,1199.0,88.7,5.0
165,Honda Mobilio RS,Honda,Diesel,Individual,Manual,Second Owner,2015.0,93500.0,24.5,1498.0,98.6,7.0
166,Honda Mobilio S,Honda,Diesel,Individual,Manual,Second Owner,2016.0,100000.0,24.2,1498.0,98.6,7.0
167,Honda Mobilio V,Honda,Petrol,Individual,Manual,First Owner,2014.5,37500.0,20.75,1497.5,107.94999999999999,7.0
