,Car,Company,fuel,seller_type,transmission,owner,year,km_driven,mileage,engine_cc,max_power_bhp,seats
495,Renault Duster RXZ,Renault,Diesel,Dealer,Automatic,First Owner,2017.0,20171.0,19.87,1461.0,108.5,5.0
496,Renault Fluence 1.5,Renault,Diesel,Individual,Manual,Second Owner,2013.0,67000.0,20.4,1461.0,108.5,5.0
497,Renault Fluence 2,Renault,Petrol,Dealer,Automatic,First Owner,2011.0,43000.0,13.4,1997.0,135.1,5.0
498,Renault Fluence Diesel,Renault,Diesel,Individual,Manual,Second Owner,2012.0,120000.0,21.8,1461.0,78.0,5.0
499,Renault KWID 1,Renault,Petrol,Individual,Manual,First Owner,2017.0,30000.0,23.01,999.0,67.0,5.0
500,Renault KWID AMT,Renault,Petrol,Individual,Automatic,First Owner,2018.0,30000.0,24.04,999.0,67.0,5.0
501,Renault KWID Climber,Renault,Petrol,Individual,Manual,First Owner,2017.0,35000.0,23.01,999.0,67.0,5.0
502,Renault KWID RXE,Renault,Petrol,Individual,Manual,First Owner,2017.0,5000.0,25.17,799.0,53.3,5.0
503,Renault KWID RXL,Renault,Petrol,Individual,Manual,First Owner,2018.0,30000.0,25.17,799.0,53.3,5.0
504,Renault KWID RXT,Renault,Petrol,Individual,Manual,First Owner,2016.0,29000.0,25.17,799.0,53.3,5.0
505,Renault Koleos 2,Renault,Diesel,Dealer,Automatic,First Owner,2013.0,75010.0,13.73,1995.0,148.0,5.0
506,Renault Lodgy 85PS,Renault,Diesel,Individual,Manual,First Owner,2016.0,65000.0,21.04,1461.0,83.8,8.0
507,Renault Lodgy Stepway,Renault,Diesel,Individual,Manual,First Owner,2016.0,145000.0,20.509999999999998,1461.0,96.15,7.5
508,Renault Lodgy World,Renault,Diesel,Individual,Manual,First Owner,2017.0,65000.0,19.98,1461.0,108.5,8.0
509,Renault Pulse RxL,Renault,Diesel,Individual,Manual,First Owner,2013.0,85000.0,23.08,1461.0,63.12,5.0
510,Renault Pulse RxZ,Renault,Diesel,Individual,Manual,First Owner,2012.0,100000.0,23.08,1461.0,63.11,5.0
511,Renault Scala Diesel,Renault,Diesel,Individual,Manual,First Owner,2013.0,110000.0,21.64,1461.0,84.8,5.0
512,Renault Triber RXT,Renault,Petrol,Individual,Manual,First Owner,2019.0,5000.0,20.0,999.0,72.0,7.0
513,Renault Triber RXZ,Renault,Petrol,Individual,Manual,First Owner,2019.0,5750.0,20.0,999.0,72.0,7.0
514,Skoda Fabia 1.2,Skoda,Diesel,Individual,Manual,Second Owner,2012.0,70000.0,20.86,1199.0,75.0,5.0
515,Skoda Fabia 1.2L,Skoda,Diesel,Individual,Manual,First Owner,2011.0,152500.0,20.86,1199.0,75.0,5.0
516,Skoda Fabia 1.4,Skoda,Diesel,Individual,Manual,Third Owner,2008.0,150000.0,19.4,1422.0,70.0,5.0
517,Skoda Fabia Scout,Skoda,Diesel,Individual,Manual,First Owner,2012.0,110000.0,21.0,1199.0,75.0,5.0
518,Skoda Kodiaq 2,Skoda,Diesel,Dealer,Automatic,First Owner,2018.0,28800.5,16.25,1968.0,148.0,7.0
519,Skoda Laura Ambiente,Skoda,Diesel,Individual,Manual,Second Owner,2010.0,110000.0,17.5,1896.0,106.0,5.0
520,Skoda Octavia Ambiente,Skoda,Diesel,Individual,Manual,Second Owner,2007.0,147500.0,18.7,1896.0,66.0,5.0
521,Skoda Octavia Ambition,Skoda,Diesel,Individual,Manual,First Owner,2014.5,123500.0,20.6,1968.0,141.0,5.0
522,Skoda Octavia Classic,Skoda,Diesel,Individual,Manual,Third Owner,2006.5,152500.0,18.7,1896.0,66.0,5.0
523,Skoda Octavia Elegance,Skoda,Petrol,Dealer,Automatic,Second Owner,2017.0,33000.0,14.7,1798.0,177.5,5.0
524,Skoda Octavia L,Skoda,Diesel,Individual,Manual,Second Owner,2007.0,120000.0,16.6,1896.0,122.4,5.0
525,Skoda Octavia RS,Skoda,Petrol,Individual,Manual,Third Owner,2006.0,120000.0,13.1,1781.0,149.5,5.0
526,Skoda Octavia Rider,Skoda,Diesel,Individual,Manual,Second Owner,2008.0,120000.0,18.7,1896.0,66.0,5.0
527,Skoda Octavia Style,Skoda,Diesel,Dealer,Automatic,First Owner,2019.0,11000.0,19.3,1968.0,141.0,5.0
528,Skoda Rapid 1.5,Skoda,Diesel,Individual,Manual,First Owner,2016.0,78010.0,21.14,1498.0,103.52,5.0
529,Skoda Rapid 1.6,Skoda,Petrol,Dealer,Automatic,First Owner,2016.0,11000.0,14.3,1598.0,103.5,5.0
530,Skoda Rapid Monte,Skoda,Diesel,Individual,Automatic,First Owner,2017.0,40000.0,21.66,1498.0,108.6,5.0
531,Skoda Rapid Ultima,Skoda,Diesel,Individual,Manual,First Owner,2012.0,140000.0,20.5,1598.0,103.5,5.0
532,Skoda Superb Elegance,Skoda,Petrol,Individual,Automatic,First Owner,2013.0,75000.0,15.45,1883.0,147.925,5.0
533,Skoda Superb LK,Skoda,Petrol,Dealer,Automatic,First Owner,2018.0,50000.0,14.67,1798.0,177.46,5.0
534,Skoda Yeti Ambition,Skoda,Diesel,Individual,Manual,First Owner,2011.0,202000.0,17.67,1968.0,138.08,5.0
535,Tata Aria Pleasure,Tata,Diesel,Individual,Manual,Second Owner,2013.0,80000.0,13.7,2179.0,138.1,7.0
536,Tata Aria Prestige,Tata,Diesel,Individual,Manual,Second Owner,2013.0,80000.0,13.7,2197.0,138.1,7.0
537,Tata Aria Pride,Tata,Diesel,Individual,Manual,Third Owner,2012.0,126000.0,13.7,2179.0,138.1,7.0
538,Tata Aria Pure,Tata,Diesel,Individual,Manual,Second Owner,2014.0,78000.0,15.05,2179.0,147.9,7.0
539,Tata Bolt Quadrajet,Tata,Diesel,Individual,Manual,First Owner,2017.0,50000.0,22.95,1248.0,74.0,5.0
540,Tata Bolt Revotron,Tata,Petrol,Individual,Manual,First Owner,2015.0,25000.0,17.57,1193.0,88.7,5.0
541,Tata Harrier XZ,Tata,Diesel,Individual,Manual,First Owner,2019.0,15500.0,17.0,1956.0,152.885,5.0
542,Tata Hexa XE,Tata,Diesel,Individual,Manual,First Owner,2017.5,25750.0,17.6,2179.0,147.94,7.0
543,Tata Hexa XM,Tata,Diesel,Individual,Manual,First Owner,2017.0,35000.0,17.6,2179.0,153.86,7.0
544,Tata Hexa XT,Tata,Diesel,Individual,Manual,First Owner,2018.0,45000.0,17.6,2179.0,153.86,7.0
545,Tata Hexa XTA,Tata,Diesel,Individual,Automatic,First Owner,2017.0,54000.0,17.6,2179.0,153.86,7.0
546,Tata Indica GLS,Tata,Petrol,Individual,Manual,Second Owner,2007.0,80000.0,15.3,1193.0,65.3,5.0
547,Tata Indica V2,Tata,Diesel,Individual,Manual,Second Owner,2008.0,95000.0,17.2,1396.0,62.0,5.0
548,Tata Indica Vista,Tata,Diesel,Individual,Manual,First Owner,2012.0,110000.0,19.1,1405.0,71.0,5.0
549,Tata Indigo CR4,Tata,Diesel,Individual,Manual,First Owner,2012.0,77160.5,23.57,1396.0,70.0,5.0
550,Tata Indigo CS,Tata,Diesel,Individual,Manual,First Owner,2013.0,85000.0,19.09,1396.0,69.0,5.0
551,Tata Indigo GLS,Tata,Petrol,Individual,Manual,Second Owner,2005.0,74000.0,12.8,1396.0,85.0,5.0
552,Tata Indigo GLX,Tata,Petrol,Individual,Manual,First Owner,2008.0,120000.0,12.8,1396.0,85.0,5.0
553,Tata Indigo Grand,Tata,Diesel,Individual,Manual,Third Owner,2007.5,65000.0,18.21,1396.0,84.8,5.0
554,Tata Indigo LS,Tata,Diesel,Individual,Manual,Second Owner,2008.0,120000.0,17.0,1405.0,70.0,5.0
555,Tata Indigo LX,Tata,Diesel,Individual,Manual,First Owner,2008.0,90000.0,17.0,1405.0,70.0,5.0
556,Tata Indigo TDI,Tata,Diesel,Individual,Manual,First Owner,2010.0,100000.0,19.61,1405.0,70.0,5.0
557,Tata Indigo V,Tata,Diesel,Individual,Manual,First Owner,2012.0,50000.0,17.0,1405.0,70.0,5.0
558,Tata Indigo VS,Tata,Diesel,Individual,Manual,Second Owner,2012.0,120000.0,17.8,1405.0,70.0,5.0
559,Tata Indigo eCS,Tata,Diesel,Individual,Manual,First Owner,2012.0,75000.0,23.03,1396.0,69.0,5.0
560,Tata Manza Aqua,Tata,Diesel,Individual,Manual,Second Owner,2010.0,88671.5,19.96,1248.0,89.4,5.0
561,Tata Manza Aura,Tata,Diesel,Individual,Manual,First Owner,2010.0,100000.0,18.8,1248.0,90.0,5.0
562,Tata Manza Club,Tata,Diesel,Individual,Manual,First Owner,2013.0,80000.0,21.02,1248.0,88.76,5.0
563,Tata Manza ELAN,Tata,Diesel,Individual,Manual,First Owner,2011.0,70000.0,19.0,1248.0,90.0,5.0
564,Tata Nano CX,Tata,Petrol,Individual,Manual,First Owner,2013.0,30000.0,25.4,624.0,37.48,4.0
565,Tata Nano Cx,Tata,Petrol,Individual,Manual,First Owner,2011.0,40000.0,26.0,624.0,35.0,4.0
566,Tata Nano LX,Tata,Petrol,Individual,Manual,First Owner,2013.5,44000.0,25.4,624.0,37.489999999999995,4.0
567,Tata Nano Lx,Tata,Petrol,Individual,Manual,First Owner,2011.0,40000.0,25.4,624.0,37.48,4.0
568,Tata Nano STD,Tata,Petrol,Dealer,Manual,First Owner,2012.0,18000.0,25.4,624.0,37.5,4.0
569,Tata Nano Twist,Tata,Petrol,Individual,Manual,First Owner,2015.0,25000.0,25.4,624.0,37.5,4.0
570,Tata Nano XE,Tata,Petrol,Individual,Manual,Third Owner,2016.0,65000.0,23.9,624.0,37.48,4.0
571,Tata Nano XTA,Tata,Petrol,Individual,Automatic,First Owner,2016.0,22000.0,21.9,624.0,37.48,4.0
572,Tata New Safari,Tata,Diesel,Individual,Manual,Second Owner,2010.0,110000.0,13.93,2179.0,138.1,7.0
573,Tata Nexon 1.2,Tata,Petrol,Individual,Manual,First Owner,2018.0,22500.0,17.0,1198.0,108.5,5.0
574,Tata Nexon 1.5,Tata,Diesel,Individual,Manual,First Owner,2018.0,30000.0,21.5,1497.0,108.5,5.0
575,Tata Safari DICOR,Tata,Diesel,Individual,Manual,First Owner,2011.5,80000.0,13.93,2179.0,138.03,7.0
576,Tata Safari Storme,Tata,Diesel,Individual,Manual,First Owner,2015.0,110000.0,14.1,2179.0,147.94,7.0
577,Tata Spacio Gold-10/6,Tata,Diesel,Individual,Manual,Third Owner,2007.0,120000.0,14.6,2956.0,63.0,10.0
578,Tata Sumo CX,Tata,Diesel,Individual,Manual,First Owner,2011.0,120000.0,12.2,1948.0,68.0,9.0
579,Tata Sumo EX,Tata,Diesel,Individual,Manual,First Owner,2012.0,67500.0,12.3,1948.0,83.8,9.0
580,Tata Sumo GX,Tata,Diesel,Individual,Manual,Third Owner,2008.0,80000.0,14.4,2179.0,83.8,7.0
581,Tata Sumo Gold,Tata,Diesel,Individual,Manual,First Owner,2014.5,110600.0,15.3,2956.0,83.83,7.0
582,Tata Sumo MKII,Tata,Diesel,Individual,Manual,Second Owner,2011.0,90000.0,14.0,2179.0,118.35,8.0
583,Tata Sumo SE,Tata,Diesel,Individual,Manual,Fourth & Above Owner,2001.0,120000.0,13.135,2452.0,75.55,8.5
584,Tata Tiago 1.05,Tata,Diesel,Individual,Manual,First Owner,2017.0,70000.0,27.28,1047.0,69.0,5.0
585,Tata Tiago 1.2,Tata,Petrol,Individual,Manual,First Owner,2017.0,29000.0,23.84,1199.0,84.0,5.0
586,Tata Tiago 2019-2020,Tata,Petrol,Individual,Manual,First Owner,2019.0,3500.0,23.84,1199.0,83.83,5.0
587,Tata Tiago NRG,Tata,Petrol,Individual,Manual,First Owner,2019.0,10000.0,24.0,1199.0,83.81,5.0
588,Tata Tiago Wizz,Tata,Diesel,Individual,Manual,First Owner,2017.0,120000.0,27.28,1047.0,69.0,5.0
589,Tata Tiago XT,Tata,Petrol,Dealer,Manual,First Owner,2018.0,33928.0,23.84,1199.0,84.48,5.0
590,Tata Tigor 1.05,Tata,Diesel,Individual,Manual,First Owner,2017.0,50000.0,24.7,1047.0,69.0,5.0
591,Tata Tigor 1.2,Tata,Petrol,Individual,Manual,First Owner,2018.0,25000.0,20.3,1199.0,84.0,5.0
592,Tata Tigor 2017-2020,Tata,Petrol,Individual,Manual,First Owner,2019.0,20000.0,20.3,1199.0,83.81,5.0
593,Tata Venture EX,Tata,Diesel,Individual,Manual,First Owner,2012.0,90000.0,15.42,1405.0,70.0,7.0
594,Tata Venture LX,Tata,Diesel,Individual,Manual,Third Owner,2013.0,120000.0,15.42,1405.0,70.0,7.0
595,Tata Winger Deluxe,Tata,Diesel,Individual,Manual,First Owner,2010.0,50000.0,10.71,1948.0,90.0,14.0
596,Tata Xenon XT,Tata,Diesel,Individual,Manual,Second Owner,2014.5,85000.0,13.49,2179.0,138.03,5.0
597,Tata Zest Quadrajet,Tata,Diesel,Individual,Manual,First Owner,2016.0,70000.0,22.95,1248.0,88.7,5.0
598,Tata Zest Revotron,Tata,Petrol,Individual,Manual,First Owner,2017.0,40000.0,17.57,1193.0,88.7,5.0
599,Toyota Camry 2.5,Toyota,Petrol,Trustmark Dealer,Automatic,First Owner,2016.0,68089.0,19.16,2494.0,157.7,5.0
600,Toyota Camry V4,Toyota,Petrol,Individual,Manual,Second Owner,2004.0,120000.0,13.4,2362.0,164.7,5.0
601,Toyota Camry W4,Toyota,Petrol,Dealer,Automatic,First Owner,2009.0,71000.0,12.1,2362.0,164.7,5.0
602,Toyota Corolla AE,Toyota,Petrol,Individual,Manual,Second Owner,2004.0,95000.0,13.4,1794.0,125.0,5.0
603,Toyota Corolla Altis,Toyota,Petrol,Individual,Manual,First Owner,2012.0,70000.0,14.53,1794.0,138.015,5.0
604,Toyota Corolla DX,Toyota,Petrol,Individual,Manual,Second Owner,2005.0,96000.0,13.4,1794.0,125.0,5.0
605,Toyota Corolla H2,Toyota,Petrol,Individual,Manual,Second Owner,2007.0,75000.0,13.4,1794.0,125.0,5.0
606,Toyota Etios 1.4,Toyota,Diesel,Individual,Manual,Second Owner,2017.0,120000.0,23.59,1364.0,67.04,5.0
607,Toyota Etios 1.5,Toyota,Petrol,Dealer,Manual,First Owner,2011.0,45500.0,16.78,1496.0,88.73,5.0
608,Toyota Etios Cross,Toyota,Petrol,Individual,Manual,First Owner,2014.5,40500.0,20.875,1280.5,72.93,5.0
609,Toyota Etios Diesel,Toyota,Diesel,Individual,Manual,Second Owner,2012.0,105000.0,23.59,1364.0,67.1,5.0
610,Toyota Etios G,Toyota,Petrol,Individual,Manual,First Owner,2012.0,86000.0,17.19,1496.0,88.73,5.0
611,Toyota Etios GD,Toyota,Diesel,Individual,Manual,Second Owner,2015.0,120000.0,23.59,1364.0,67.05,5.0
612,Toyota Etios Liva,Toyota,Diesel,Individual,Manual,First Owner,2014.0,70000.0,23.59,1364.0,67.04,5.0
613,Toyota Etios VD,Toyota,Diesel,Individual,Manual,Second Owner,2015.0,120000.0,23.59,1364.0,67.05,5.0
614,Toyota Etios VX,Toyota,Petrol,Trustmark Dealer,Manual,First Owner,2017.0,25538.0,16.78,1496.0,88.73,5.0
615,Toyota Etios VXD,Toyota,Diesel,Individual,Manual,First Owner,2011.0,95000.0,23.59,1364.0,67.1,5.0
616,Toyota Fortuner 2.5,Toyota,Diesel,Individual,Manual,First Owner,2015.0,120000.0,13.0,2494.0,142.0,7.0
617,Toyota Fortuner 2.8,Toyota,Diesel,Individual,Automatic,First Owner,2018.0,50000.0,14.24,2755.0,174.5,7.0
618,Toyota Fortuner 3,Toyota,Diesel,Individual,Manual,Second Owner,2010.0,139813.5,11.5,2982.0,171.0,7.0
619,Toyota Fortuner 4x2,Toyota,Diesel,Individual,Automatic,First Owner,2015.0,91000.0,12.55,2982.0,168.5,7.0
620,Toyota Fortuner 4x4,Toyota,Diesel,Individual,Manual,First Owner,2015.0,68500.0,12.55,2982.0,168.5,7.0
621,Toyota Glanza G,Toyota,Petrol,Individual,Automatic,First Owner,2019.0,7500.0,21.715,1197.0,85.15,5.0
622,Toyota Glanza V,Toyota,Petrol,Dealer,Automatic,First Owner,2019.0,9654.0,19.56,1197.0,81.8,5.0
623,Toyota Innova 2.5,Toyota,Diesel,Individual,Manual,Second Owner,2013.0,120000.0,12.99,2494.0,100.6,7.0
624,Toyota Innova Crysta,Toyota,Diesel,Individual,Manual,First Owner,2017.0,42163.0,13.24,2443.5,147.8,7.0
625,Toyota Land Cruiser,Toyota,Diesel,Individual,Automatic,First Owner,2014.0,60000.0,11.0,2982.0,170.3,7.0
626,Toyota Platinum Etios,Toyota,Diesel,Individual,Manual,First Owner,2018.0,116000.0,23.59,1364.0,67.05,5.0
627,Toyota Qualis FS,Toyota,Diesel,Individual,Manual,First Owner,2002.0,290000.0,13.1,2446.0,75.0,10.0
628,Toyota Yaris V,Toyota,Petrol,Trustmark Dealer,Manual,First Owner,2018.0,5229.0,17.1,1496.0,105.5,5.0
629,Volkswagen Ameo 1,Volkswagen,Petrol,Individual,Manual,First Owner,2019.0,20000.0,19.44,999.0,75.0,5.0
630,Volkswagen Ameo 1.2,Volkswagen,Petrol,Individual,Manual,First Owner,2016.0,20000.0,17.0,1198.0,73.75,5.0
631,Volkswagen Ameo 1.5,Volkswagen,Diesel,Individual,Manual,First Owner,2017.0,40000.0,21.66,1498.0,108.62,5.0
632,Volkswagen CrossPolo 1.5,Volkswagen,Diesel,Individual,Manual,Second Owner,2013.5,77000.0,20.14,1498.0,88.5,5.0
633,Volkswagen GTI 1.8,Volkswagen,Petrol,Individual,Automatic,First Owner,2016.0,70000.0,16.34,1798.0,189.3,5.0
634,Volkswagen Jetta 1.6,Volkswagen,Petrol,Individual,Manual,Second Owner,2010.0,80000.0,14.0,1595.0,102.0,5.0
635,Volkswagen Jetta 2,Volkswagen,Diesel,Individual,Manual,First Owner,2010.0,100000.0,15.0,1896.0,105.0,5.0
636,Volkswagen Jetta 2.0L,Volkswagen,Diesel,Individual,Automatic,Second Owner,2013.0,97000.0,16.96,1968.0,138.1,5.0
637,Volkswagen Passat 1.8,Volkswagen,Petrol,Individual,Manual,First Owner,2010.0,117000.0,14.3,1798.0,160.0,5.0
638,Volkswagen Passat 2,Volkswagen,Diesel,Dealer,Automatic,First Owner,2012.0,108000.0,17.42,1968.0,175.0,5.0
639,Volkswagen Passat Highline,Volkswagen,Diesel,Individual,Automatic,First Owner,2010.0,90550.0,14.3,1968.0,140.0,5.0
640,Volkswagen Polo 1,Volkswagen,Petrol,Individual,Manual,First Owner,2019.5,6000.0,18.509999999999998,999.0,91.8,5.0
641,Volkswagen Polo 1.2,Volkswagen,Petrol,Individual,Manual,First Owner,2016.0,40000.0,16.2,1199.0,74.0,5.0
642,Volkswagen Polo 1.5,Volkswagen,Diesel,Individual,Manual,First Owner,2015.0,63000.0,20.14,1498.0,88.8,5.0
643,Volkswagen Polo 2015-2019,Volkswagen,Petrol,Individual,Manual,First Owner,2018.0,17000.0,18.78,999.0,75.0,5.0
644,Volkswagen Polo Diesel,Volkswagen,Diesel,Individual,Manual,Second Owner,2012.0,80000.0,22.07,1199.0,73.9,5.0
645,Volkswagen Polo GT,Volkswagen,Diesel,Individual,Manual,Second Owner,2013.5,74500.0,17.205,1397.5,103.6,5.0
646,Volkswagen Polo Petrol,Volkswagen,Petrol,Individual,Manual,First Owner,2012.0,59122.5,16.47,1198.0,73.9,5.0
647,Volkswagen Polo Select,Volkswagen,Diesel,Individual,Manual,First Owner,2013.0,47250.0,18.305,1348.0,81.35,5.0
648,Volkswagen Vento 1.5,Volkswagen,Diesel,Individual,Automatic,First Owner,2016.0,74000.0,22.15,1498.0,108.6,5.0
649,Volkswagen Vento 1.6,Volkswagen,Petrol,Individual,Manual,Second Owner,2014.0,70000.0,15.04,1598.0,103.2,5.0
650,Volkswagen Vento Diesel,Volkswagen,Diesel,Individual,Manual,Second Owner,2011.0,100000.0,20.54,1598.0,103.6,5.0
651,Volkswagen Vento IPL,Volkswagen,Diesel,Individual,Manual,Second Owner,2011.0,66000.0,20.5,1598.0,105.0,5.0
652,Volkswagen Vento Konekt,Volkswagen,Diesel,Individual,Manual,First Owner,2014.0,90000.0,20.54,1598.0,103.6,5.0
653,Volkswagen Vento Petrol,Volkswagen,Petrol,Individual,Manual,Second Owner,2011.0,60000.0,15.04,1598.0,103.6,5.0
654,Volvo S60 D4,Volvo,Diesel,Dealer,Automatic,First Owner,2015.0,39000.0,9.0,1984.0,181.0,5.0
655,Volvo S90 D4,Volvo,Diesel,Individual,Automatic,First Owner,2019.0,17000.0,18.0,1969.0,190.0,5.0
656,Volvo V40 Cross,Volvo,Diesel,Individual,Automatic,Second Owner,2013.0,72500.0,23.3,1984.0,150.0,5.0
657,Volvo V40 D3,Volvo,Diesel,Dealer,Automatic,First Owner,2018.0,2000.0,16.8,1984.0,150.0,5.0
658,Volvo XC40 D4,Volvo,Diesel,Individual,Automatic,First Owner,2019.0,20000.0,18.0,1969.0,190.0,5.0
659,Volvo XC60 Inscription,Volvo,Diesel,Individual,Automatic,First Owner,2018.0,50000.0,11.2,1969.0,235.0,5.0
660,Volvo XC90 T8,Volvo,Petrol,Individual,Automatic,First Owner,2017.0,30000.0,42.0,1969.0,400.0,4.0
